OldBGC,OldSiteUnitLMH28_26,NewBGC,NewSiteUnit,SiteUnitName
CWHws1,01,CWHws1,101,HwBa – Blueberry – Step moss
CWHws1,02,CWHws1,102,HwPl – Feather moss – Clad lichens
CWHws1,03,CWHws1,103,HwPl – Feather moss
CWHws1,04,CWHws1,110,HwBa – Oak fern – Wood fern
CWHws1,05,CWHws1,111,HwBa – Blueberry – Queen's cup
CWHws1,06,CWHws1,112,CwHw – Devil's club – Enchanter's-nightshade
CWHws1,07,CWHws1,113,SsHw – Salmonberry – Devil's club [Fh]
CWHws1,09,CWHws1,Fl52,Sitka willow – Salmonberry – Horsetail
CWHws1,09,CWHws1,Fl51,Dr – Salmonberry – Horsetail
CWHws1,08,CWHws1,Fm50,ActDr – Salmonberry
CWHws1,08,CWHws1,Fm50.1,Salmonberry
CWHws1,10,CWHws1,Wb51,Plc - Crowberry - Peat mosses
CWHws1,11,CWHws1,Ws56,SsHw – Skunk cabbage
CWHws1,11,CWHws1,Ws56.2,Central (CwSs)
CWHws2,01,CWHws2,101,HwBa – Blueberry – Step moss
CWHws2,02,CWHws2,102,HwPl – Feather moss – Clad lichens
CWHws2,03,CWHws2,103,Hw – Blueberry – Step moss
CWHws2,04,CWHws2,110,HwBa – Oak fern – Wood fern
CWHws2,05,CWHws2,111,HwBa – Blueberry – Queen's cup
CWHws2,06,CWHws2,112,HwBa – Devil's club – Oak fern
CWHws2,07,CWHws2,113,BaHw – Salmonberry – Devil's club [Fh]
CWHws2,NPE,CWHws2,114,Bl – Devil's club – Oak fern [cold air]
CWHws2,09,CWHws2,Fl51,Dr – Salmonberry – Horsetail
CWHws2,08,CWHws2,Fm50,ActDr – Salmonberry
CWHws2,08,CWHws2,Fm50.2,Devil's club
CWHws2,10,CWHws2,Wb51,Plc - Crowberry - Peat mosses
CWHws2,11,CWHws2,Ws56,SsHw – Skunk cabbage
CWHws2,11,CWHws2,Ws56.2,Central (CwSs)
CWHms2,01,CWHws3,101,HwBa – Blueberry – Step moss
CWHms2,02,CWHws3,102,FdcPlHw – Kinnikinnick
CWHms2,03,CWHws3,103,HwFdc – Azalea – Falsebox
CWHms2,04,CWHws3,110,HwBa – Oak fern – Wood fern
CWHms2,05,CWHws3,111,HwBa – Azalea – Bunchberry
CWHms2,06,CWHws3,112,HwFdc – Devil's club – Oak fern
CWHms2,07,CWHws3,113,SsHw – Salmonberry – Devil's club [Fh]
CWHms2,09,CWHws3,Fl52,Sitka willow – Salmonberry – Horsetail
CWHms2,08,CWHws3,Fm50,ActDr - Salmonberry
CWHms2,08,CWHws3,Fm52,ActCw - Vine maple - Devil's club
CWHms2,10,CWHws3,Wb51,Plc - Crowberry - Peat mosses
CWHms2,11,CWHws3,Ws56,SsHw – Skunk cabbage
CWHms2,11,CWHws3,Ws56.2,Central (CwSs)
CWHms2,NPE,CWHws3,Ws58,CwHw - Slough sedge
CWHms2,NPE,CWHws3,Ws58.1,Typic
IDFww,01,CWHxs,101,FdcHw – Dull Oregon-grape – Falsebox
IDFww,01 ,CWHxs,101.1,Typic
IDFww,NPE,CWHxs,101.2,Rhododendron
IDFww,02,CWHxs,102,Fdc – Kinnikinnick – Feather moss – Reindeer lichens
IDFww,03,CWHxs,103,Fdc – Dull Oregon-grape – Feather moss
IDFww,03,CWHxs,103.1,Typic
IDFww,NPE,CWHxs,103.2,Rhododendron
IDFww,04,CWHxs,110,CwFdc – Vine maple – Dull Oregon-grape
IDFww,05,CWHxs,111,CwFdc – Vine maple – Foamflower
IDFww,06,CWHxs,111,CwFdc – Vine maple – Foamflower
IDFww,NPE,CWHxs,112,CwHw – Vine maple – Red-osier dogwood [Fh]
IDFww,NPE,CWHxs,Fl52,Sitka willow – Salmonberry – Horsetail
IDFww,NPE,CWHxs,Fm52,ActCw – Vine maple – Devil's club
IDFww,NPE,CWHxs,Wb55,Plc - Labrador tea - Peat mosses
IDFww,07,CWHxs,Ws56,SsHw – Skunk cabbage
IDFww,07,CWHxs,Ws56.1,Southern (CwHw)
IDFww,01,IDFww,101,Fd – Falsebox – Orange honeysuckle
IDFww,01,IDFww,101.1,Typic
IDFww,01,IDFww,101.2,Cw
IDFww,02,IDFww,102,Fdc – Selaginellas – Bluebunch wheatgrass
IDFww,03,IDFww,103,FdcPy – Saskatoon – Screw moss
IDFww,03,IDFww,104,Fdc – Falsebox – Pinegrass
IDFww,04,IDFww,110,CwFdc – Hooker's fairybells
IDFww,06,IDFww,111,FdcSx – Red-osier dogwood – Sarsaparilla [cold air]
IDFww,06,IDFww,112,CwBg – Douglas' maple – Devil's club [Fh]
IDFww,NPE,IDFww,Fm53,ActDr - Salmonberry - Lily-of-the-Valley
MHmm1,01,MHmm1,101,HmBa – Blueberry – Pipecleaner moss
MHmm1,01,MHmm1,101a,Typic
MHmm1,01,MHmm1,101b,Subxeric
MHmm1,02,MHmm1,102,YcHm – Mountain-heaths – Clad lichens
MHmm1,NPE,MHmm1,103,HmYc – Blueberry – Pink mountain-heath [late snow]
MHmm1,01,MHmm1,104,HmYc – Copperbush – Mountain-heather [late snow]
MHmm1,03,MHmm1,110,HmBa – Foamflower
MHmm1,04,MHmm1,111,HmYc – Copperbush – Deer cabbage
MHmm1,06,MHmm1,111,HmYc – Copperbush – Deer cabbage
MHmm1,05,MHmm1,112,HmBa – Devil's club – Oak fern
MHmm1,07,MHmm1,112,HmBa – Devil's club – Oak fern
MHmm1,08,MHmm1,Wb57,YcHm - Narrow-leaved cotton-grass - Peat mosses
MHmm1,09,MHmm1,Ws55,YcHm – Skunk cabbage
MHmm2,01,MHmm2,101,HmBa – Blueberry – Pipecleaner moss
MHmm2,01,MHmm2,101a,Typic
MHmm2,01,MHmm2,101b,Subxeric
MHmm2,02,MHmm2,102,HmBl – Pink mountain-heath – Reindeer lichens
MHmm2,01,MHmm2,103,HmBa – Copperbush – Mountain-heather [late snow]
MHmm2,03,MHmm2,110,HmBl – Valerian – Foamflower
MHmm2,04,MHmm2,111,HmBa – Deer cabbage – Peat mosses
MHmm2,06,MHmm2,111,HmBa – Deer cabbage – Peat mosses
MHmm2,05,MHmm2,112,HmBa – Devil's club – Oak fern
MHmm2,07,MHmm2,113,HmBl – Lady fern – Valerian
MHmm2,08,MHmm2,Wb57,YcHm - Narrow-leaved cotton-grass - Peat mosses
MHmm2,09,MHmm2,Ws59,HmBl – Skunk cabbage
ESSFwv,01,MHms,101,HmBl – Huckleberry – Blueberry – Oak fern
ESSFwv,04,MHms,101,HmBl – Huckleberry – Blueberry – Oak fern
ESSFwv,05,MHms,101,HmBl – Huckleberry – Blueberry – Oak fern
ESSFwv,02,MHms,102,Hm – Huckleberry – Clad lichens
ESSFwv,03,MHms,103,HmBl – Huckleberry – Heron's-bill mosses
ESSFwv,04,MHms,103,HmBl – Huckleberry – Heron's-bill mosses
ESSFwv,NPE,MHms,104,HmBl – Mountain-heather – Leafy liverworts [late snow]
ESSFwv,05,MHms,110,HmBl – Lady fern – Valerian
ESSFwv,06,MHms,111,HmBl – Devil's club – Lady fern
ESSFwv,NPE,MHms,Wb57,YcHm – Narrow-leaved cotton-grass – Peat mosses
ESSFwv,09,MHms,Ws08,Bl – Valerian a sitchensis – Horsetail
MHwh1,01,MHvh,101,HmYc – Blueberry – Lanky moss
MHwh1,01,MHvh,101a,Typic
MHwh1,01,MHvh,101b,Subxeric
MHwh1,02,MHvh,102,YcHm – Crowberry – Lanky moss
MHwh1,03,MHvh,110,HmBaYc – Deer fern – Twistedstalks
MHwh1,05,MHvh,110,HmBaYc – Deer fern – Twistedstalks
MHwh1,04,MHvh,111,HmYc – Copperbush – Deer cabbage
MHwh1,06,MHvh,111,HmYc – Copperbush – Deer cabbage
MHwh1,07,MHvh,111,HmYc – Copperbush – Deer cabbage
MHwh1,08,MHvh,Wb51,Plc - Crowberry - Peat mosses
MHwh1,08,MHvh,Wb52,Plc - Tufted clubrush - Hoary rock-moss
MHwh1,08,MHvh,Wb53,PlcYc - Deer cabbage - Peat mosses
MHwh1,08,MHvh,Wb57,YcHm – Narrow-leaved cotton-grass – Peat mosses
MHwh1,09,MHvh,Ws55,YcHm - Skunk cabbage
